date,make,model,year,transmission,fuel_type,mileage,region,sale_amount
2022-09-20,Audi,A4,2018,Manual,Diesel,13934,Ulster,20700
2023-04-25,Audi,A6,2021,Automatic,Diesel,6019,Connacht,39000
2023-01-02,Audi,Q5,2013,Manual,Diesel,66229,Munster,15300
2022-07-10,Audi,A4,2018,Semi-Auto,Petrol,30648,Connacht,21800
2022-06-28,Audi,A4,2021,Automatic,E,3218,Munster,35400
2023-02-17,Audi,A3,2021,Automatic,Petrol,1061,Ulster,43400
2022-09-09,Audi,Q2,2020,Manual,Electric,4914,Munster,21100
2022-07-26,Audi,A3,2021,Semi-Auto,Petrol,-1,Leinster,46900
2023-01-12,Audi,Q5,2022,Automatic,E,5898,Connacht,48300
2023-03-24,Audi,Q5,2021,Automatic,Diesel,12379,Munster,47400
2022-05-11,Audi,A3,2021,Automatic,Electric,4800,Leinster,31300
2023-04-01,Audi,A1,2020,Manual,Petrol,24127,Leinster,20300
2022-12-28,Audi,Q3,2019,Semi-Auto,Petrol,8403,Ulster,31300
2022-11-09,Audi,A3,2021,Manual,Diesel,3387,Connacht,25200
2022-11-19,Audi,A6,2021,Semi-Auto,D,23160,Leinster,33800
2023-02-18,Audi,Q3,2019,Semi-Auto,Diesel,29541,Connacht,27300
2022-05-12,Audi,Q3,2021,Auto,Petrol,4800,Leinster,41900
2022-07-04,Audi,Q2,2021,Automatic,Electric,8190,Connacht,36800
2023-02-21,Audi,A3,2021,Semi-Auto,Electric,4227,Munster,36400
2023-04-09,Audi,A1,2020,Manual,Petrol,13279,Leinster,19200
2023-03-27,Audi,A3,2015,Automatic,Diesel,21870,Leinster,17500
2023-03-18,Audi,A4,2015,Manual,Petrol,43024,Munster,14700
2022-10-02,Audi,A4,2020,Manual,Electric,21853,Connacht,22000
2022-12-15,Audi,A5,2022,Semi-Auto,Diesel,1318,Munster,46200
2022-05-20,Audi,A4,2021,Manual,Petrol,4950,Munster,39600
2022-12-29,Audi,A1,2021,Manual,Petrol,1997,Munster,26400
2023-01-24,Audi,A6,2018,Manual,Diesel,85720,Munster,13200
2022-12-23,Audi,Q5,2021,Automatic,Electric,4910,Leinster,42800
2022-10-11,Audi,A5,2020,Auto,Petrol,11616,Connacht,36000
2022-10-18,Audi,A5,2022,Semi-Auto,Petrol,3300,Leinster,32400
2023-01-16,Audi,A5,2021,Semi-Auto,Petrol,3500,Leinster,53200
2022-07-16,Audi,A5,2015,Automatic,Petrol,53280,Leinster,23800
2022-12-27,Audi,A1,2018,Manual,Petrol,15230,Ulster,17500
2022-05-16,Audi,A3,2021,Manual,Diesel,7081,Leinster,28100
2023-04-23,Audi,A4,2021,Semi-Auto,Electric,1013,Connacht,34700
2022-11-20,Audi,Q5,2021,Semi-Auto,Electric,3608,Leinster,51800
2023-02-14,Audi,Q5,2021,Auto,Electric,3460,Leinster,43200
2022-05-29,Audi,Q3,2021,Manual,P,6000,Ulster,32400
2023-04-08,Audi,A3,2019,Manual,Petrol,23694,Munster,20700
2023-03-30,Audi,A5,2021,Semi-Auto,Petrol,1432,Leinster,38200
2023-02-20,Audi,A3,2020,Manual,Petrol,15012,Ulster,19800
2023-04-30,Audi,A4,2015,Automatic,D,34400,Connacht,15500
2022-11-22,Audi,Q3,2018,Semi-Auto,Diesel,47197,Munster,21300
2023-04-17,Audi,A1,2019,Manual,Petrol,21767,Munster,23100
2022-09-09,Audi,Q2,2019,Manual,P,23792,Connacht,21200
2022-07-10,Audi,A4,2022,Manual,Petrol,974,Munster,40900
2022-11-15,Audi,A5,2016,Automatic,Diesel,50140,Ulster,15900
2022-07-21,Audi,A5,2021,Semi-Auto,Diesel,6413,Leinster,38900
2023-02-24,Audi,A5,2021,Semi-Auto,Petrol,1622,Ulster,35100
2022-07-25,Audi,A1,2019,Automatic,Petrol,20867,Leinster,17200
2022-06-29,Audi,Q3,2021,Manual,Petrol,4288,Leinster,36300
2022-09-17,Audi,A3,2018,Manual,Petrol,12703,Connacht,23400
2022-06-22,Audi,Q3,2017,Auto,P,31094,Ulster,26300
2022-11-10,Audi,A6,2019,Automatic,Diesel,22948,Munster,26300
2022-11-22,Audi,A3,2019,Semi-Auto,Petrol,27430,Leinster,24000
2023-03-30,Audi,A6,2018,Semi-Auto,Diesel,28800,Munster,24000
2022-11-08,Audi,A1,2021,Manual,Petrol,3483,Leinster,22800
2023-02-02,Audi,Q2,2022,Manual,Petrol,4275,Leinster,33500
2022-10-16,Audi,A1,2017,Manual,Petrol,14253,Munster,14800
2022-12-01,Audi,A5,2021,Semi-Auto,Electric,2436,Leinster,37800
2023-03-15,Audi,A1,2019,Manual,Petrol,35356,Connacht,13800
2022-07-03,Audi,Q5,2021,Semi-Auto,Electric,6089,Munster,39300
2022-09-28,Audi,A6,2017,Semi-Auto,Diesel,32199,Connacht,22300
2022-10-31,Audi,A4,2019,Manual,Petrol,14231,Leinster,22000
2022-06-11,Audi,A3,2021,Manual,Electric,8885,Munster,23900
2022-06-01,Audi,Q3,2021,Semi-Auto,D,3088,Munster,36300
2023-04-15,Audi,Q3,2019,Semi-Auto,Petrol,16258,Munster,35400
2023-02-17,Audi,A4,2021,Manual,Petrol,6242,Leinster,30400
2022-11-06,Audi,A1,2019,Manual,P,26500,Leinster,16800
2023-02-12,Audi,Q5,2017,Semi-Auto,Diesel,23856,Leinster,30000
2023-03-23,Audi,Q5,2022,Semi-Auto,Petrol,4800,Leinster,46200
2023-03-01,Audi,A5,2021,Semi-Auto,Electric,5225,Leinster,37600
2023-01-31,Audi,A3,2016,Semi-Auto,Petrol,39585,Munster,13800
2022-07-24,Audi,A1,2019,Semi-Auto,Petrol,9000,Munster,18000
2022-12-04,Audi,A3,2019,Manual,Petrol,36832,Ulster,18900
2022-08-06,Audi,A3,2011,Automatic,Diesel,101000,Connacht,1800
2022-10-25,Audi,A3,2018,Manual,Diesel,23063,Munster,13600
2022-08-18,Audi,A5,2017,Manual,Diesel,37056,Leinster,22800
2023-03-09,Audi,A5,2021,Semi-Auto,Petrol,1218,Leinster,37500
2022-10-18,Audi,A1,2015,Manual,Diesel,34525,Connacht,12000
2023-03-08,Audi,A3,2019,Manual,P,15958,Connacht,24000
2022-10-06,Audi,A3,2021,Semi-Auto,P,13217,Leinster,28600
2022-09-05,Audi,A3,2018,Manual,Diesel,29660,Connacht,23200
2022-12-01,Audi,A1,2021,Manual,Electric,4888,Leinster,28000
2022-06-27,Audi,Q5,2017,Semi-Auto,Diesel,31600,Ulster,27700
2022-07-17,Audi,Q5,2015,Manual,Petrol,44172,Ulster,21900
2022-12-28,Audi,Q5,2022,Semi-Auto,Diesel,7499,Ulster,72000
2022-07-02,Audi,A5,2017,Manual,Petrol,37026,Leinster,20100
2022-12-09,Audi,A4,2016,Manual,Diesel,34313,Munster,13800
2022-09-05,Audi,Q2,2020,Automatic,Electric,8613,Leinster,23300
2022-08-18,Audi,A1,2022,Semi-Auto,Petrol,1496,Connacht,34200
2022-10-17,Audi,Q5,2018,Semi-Auto,Diesel,51756,Ulster,22400
2023-04-29,Audi,A1,2019,Manual,Petrol,32824,Ulster,21500
2022-11-15,Audi,Q5,2018,Automatic,Diesel,94053,Leinster,23400
2022-12-17,Audi,A6,2017,Automatic,Diesel,41101,Connacht,21000
2022-09-10,Audi,A1,2021,Automatic,Petrol,1788,Ulster,31900
2023-01-08,Audi,A3,2018,Manual,P,22401,Munster,23400
2022-07-04,Audi,A5,2021,Automatic,Electric,2913,Munster,39800
2022-09-01,Audi,A1,2018,Manual,Petrol,8392,Leinster,13200
2022-05-06,Audi,A6,2020,Automatic,Petrol,12800,Munster,26400
2022-06-28,Audi,A4,2017,,Diesel,34630,Munster,16000
2022-06-17,Audi,A3,2018,Manual,Diesel,44000,Connacht,12600
2022-07-31,Audi,A3,2022,Automatic,Petrol,9600,Connacht,39200
2022-07-20,Audi,Q3,2018,Semi-Auto,Diesel,16074,Leinster,22000
2023-02-10,Audi,Q5,2022,Semi-Auto,Electric,6600,Ulster,70200
2022-12-16,Audi,A1,2021,Manual,P,3126,Leinster,28100
2022-11-27,Audi,Q3,2017,Manual,Petrol,19521,Leinster,20500
2022-07-22,Audi,A4,2021,Semi-Auto,Electric,11871,Leinster,28500
2023-04-11,Audi,A3,2014,,Petrol,44800,Munster,11600
2022-11-28,Audi,A5,2021,Automatic,Petrol,9000,Connacht,37000
2022-07-05,Audi,Q5,2012,Manual,Diesel,92754,Leinster,11200
2022-05-17,Audi,Q3,2020,Semi-Auto,Electric,19070,Ulster,35800
2022-08-24,Audi,A1,2020,Manual,Electric,4552,Ulster,20200
2022-07-11,Audi,A3,2018,,Petrol,21789,Connacht,30000
2023-04-22,Audi,A3,2019,Manual,Diesel,10000,Leinster,18500
2023-02-13,Audi,Q3,2019,Manual,Diesel,15474,Munster,27600
2023-04-25,Audi,A6,2021,Semi-Auto,Petrol,4500,Munster,55900
2022-07-06,Audi,A4,2018,Automatic,Diesel,40194,Munster,18600
2022-05-23,Audi,Q3,2020,Semi-Auto,Petrol,9000,Leinster,35100
2022-10-04,Audi,A4,2018,Manual,Petrol,36381,Munster,15600
2023-03-24,Audi,Q3,2021,Automatic,E,5200,Connacht,37700
2022-09-19,Audi,A3,2021,Semi-Auto,Petrol,17467,Leinster,26400
2022-07-20,Audi,Q5,2020,Semi-Auto,E,20276,Ulster,40400
2022-11-06,Audi,Q3,2019,Semi-Auto,Petrol,9625,Connacht,30100
2022-05-06,Audi,Q3,2017,Manual,Diesel,35446,Connacht,18200
2022-08-25,Audi,A5,2018,Semi-Auto,Petrol,45600,Leinster,22200
2023-04-17,Audi,A4,2021,Automatic,Diesel,5760,Leinster,31800
2022-09-24,Audi,A4,2018,Manual,Diesel,29760,Ulster,22800
2022-09-29,Audi,A3,2020,Automatic,Petrol,5966,Ulster,28000
2022-09-07,Audi,A5,2022,Semi-Auto,Electric,3500,Connacht,39100
2022-10-15,Audi,Q3,2019,Semi-Auto,Petrol,26325,Leinster,26200
2022-07-14,Audi,Q2,2019,Manual,Petrol,20647,Munster,27000
2022-08-14,Audi,Q3,2019,Manual,Diesel,18433,Munster,23300
2023-01-02,Audi,A5,2021,,Electric,6600,Leinster,46200
2022-11-24,Audi,Q5,2018,Semi-Auto,D,27443,Leinster,29900
2022-11-20,Audi,A5,2021,Semi-Auto,Electric,3465,Munster,33500
2022-09-04,Audi,A6,2017,Semi-Auto,Diesel,15777,Leinster,22200
2022-11-04,Audi,Q3,2017,Semi-Auto,Diesel,56310,Munster,21400
2022-11-27,Audi,A5,2017,,Diesel,40116,Leinster,18900
2022-08-25,Audi,Q2,2020,Manual,Electric,13227,Munster,31200
2022-11-08,Audi,A3,2022,Semi-Auto,Petrol,3802,Leinster,33500
2022-08-23,Audi,Q5,2018,Semi-Auto,Diesel,32071,Munster,47600
2023-03-11,Audi,A1,2019,Manual,Petrol,7541,Munster,14800
2022-08-05,Audi,Q5,2021,Auto,E,10827,Munster,39600
2022-11-14,Audi,Q3,2018,Semi-Auto,Petrol,14100,Munster,30700
2023-01-15,Audi,A4,2015,Manual,Diesel,49500,Munster,13500
2022-07-08,Audi,Q3,2018,Manual,Diesel,46491,Leinster,18100
2023-01-31,Audi,A3,2021,Manual,Electric,4076,Leinster,27600
2022-07-24,Audi,Q5,2021,Semi-Auto,Diesel,3387,Connacht,44900
2022-10-04,Audi,Q2,2020,Manual,Electric,13809,Ulster,25600
2022-07-09,Audi,Q5,2017,Semi-Auto,D,49200,Leinster,24000
2023-03-12,Audi,A5,2019,Semi-Auto,Petrol,38096,Munster,31200
2022-05-01,Audi,A3,2019,Manual,Petrol,20698,Leinster,27000
2022-10-06,Audi,A3,2021,Manual,Electric,3000,Munster,27300
2023-04-04,Audi,A4,2021,Automatic,Petrol,1117,Connacht,40600
2022-10-17,Audi,A3,2019,Manual,Petrol,25675,Connacht,19300
2023-01-16,Audi,A6,2017,Manual,Diesel,-1,Ulster,16600
2023-03-23,Audi,A3,2019,Manual,Diesel,30713,Munster,22800
2022-08-24,Audi,A4,2017,Manual,Diesel,32012,Connacht,19200
2023-04-22,Audi,Q3,2022,Semi-Auto,Petrol,4875,Munster,45400
2023-03-21,Audi,A1,2019,Manual,Petrol,7024,Connacht,16200
2022-07-31,Audi,A4,2022,Semi-Auto,Electric,3000,Leinster,58500
2022-09-01,Audi,A6,2020,Semi-Auto,Electric,33073,Connacht,29400
2022-07-14,Audi,Q2,2019,Automatic,P,5760,Connacht,26600
2023-01-20,Audi,A6,2018,Manual,Diesel,31300,Connacht,22200
2022-11-27,Audi,Q5,2018,Automatic,Diesel,26356,Leinster,26600
2022-05-10,Audi,Q2,2021,Manual,Diesel,1522,Leinster,31200
2022-10-17,Audi,A1,2021,Semi-Auto,Electric,12925,Leinster,25800
2022-10-27,Audi,A3,2017,Manual,Petrol,15654,Ulster,20300
2023-01-20,Audi,A3,2014,Manual,Diesel,74063,Leinster,8400
2022-08-25,Audi,Q3,2018,Manual,Diesel,65797,Leinster,22400
2022-12-11,Audi,Q3,2018,Manual,D,47350,Connacht,15600
2022-08-24,Audi,A3,2015,Manual,Petrol,28643,Leinster,16100
2022-09-08,Audi,A3,2021,Automatic,Petrol,1000,Leinster,41000
2023-02-03,Audi,Q2,2019,Auto,Petrol,-1,Leinster,26600
2022-08-18,Audi,A5,2021,Automatic,Electric,3417,Ulster,34400
2023-03-10,Audi,A4,2020,Semi-Auto,Petrol,16473,Connacht,27900
2022-06-30,Audi,Q3,2017,Semi-Auto,Petrol,48950,Connacht,21000
2022-10-18,Audi,A3,2018,Manual,Petrol,43069,Leinster,17800
2022-06-28,Audi,A3,2020,Auto,P,14830,Connacht,25800
2023-03-28,Audi,A4,2018,Manual,Petrol,75716,Leinster,18300
2022-08-07,Audi,A1,2018,Manual,Petrol,39576,Connacht,14300
2023-04-06,Audi,Q2,2021,Manual,Electric,4667,Connacht,24500
2022-12-01,Audi,Q2,2019,Semi-Auto,Petrol,8715,Connacht,28700
2022-11-30,Audi,Q5,2021,Semi-Auto,Electric,3500,Munster,56400
2022-07-30,Audi,A3,2017,Semi-Auto,Petrol,40092,Leinster,18000
2022-10-17,Audi,A4,2021,Automatic,Electric,3968,Connacht,61400
2023-02-13,Audi,A1,2018,Semi-Auto,Petrol,25067,Leinster,21000
2022-11-06,Audi,A4,2019,Manual,,58252,Munster,18100
2022-11-30,Audi,A5,2021,Automatic,Petrol,4200,Munster,42900
2022-12-01,Audi,A3,2020,Manual,Electric,12172,Connacht,26000
2023-04-09,Audi,A6,2018,Automatic,Diesel,72342,Leinster,21400
2023-02-03,Audi,Q3,2021,Manual,E,3877,Connacht,32400
2022-07-21,Audi,A5,2021,Automatic,Electric,4812,Connacht,36900
2022-10-29,Audi,Q2,2021,Manual,,5730,Munster,27300
2022-09-05,Audi,Q3,2020,Manual,Petrol,4451,Leinster,27900
2022-06-29,Audi,A6,2021,Semi-Auto,Electric,2400,Leinster,49000
2023-03-27,Audi,A4,2019,Manual,Diesel,28118,Leinster,23400
2022-08-14,Audi,A1,2015,Manual,P,45507,Munster,10200
2022-11-09,Audi,A6,2021,Semi-Auto,Petrol,6405,Leinster,47400
2023-01-27,Audi,A6,2018,Automatic,Diesel,31635,Ulster,21000
2023-03-13,Audi,Q2,2021,Automatic,Petrol,3999,Connacht,33700
2022-05-11,Audi,A3,2021,Manual,Petrol,5704,Munster,19200
2023-02-27,Audi,A4,2019,Semi-Auto,Petrol,21830,Munster,25600
2022-09-27,Audi,A3,2021,Manual,Electric,5760,Connacht,22200
2022-09-30,Audi,A1,2019,Semi-Auto,Petrol,13090,Ulster,18300
2022-07-23,Audi,Q3,2022,Semi-Auto,Electric,4800,Leinster,36500
2023-01-21,Audi,Q2,2021,Automatic,P,4515,Leinster,37800
2023-01-21,Audi,A3,2016,Semi-Auto,Petrol,41232,Munster,24400
2022-07-03,Audi,A6,2021,Automatic,Diesel,7700,Munster,39600
2022-12-06,Audi,Q2,2022,Manual,P,4800,Ulster,34500
2023-02-07,Audi,A5,2021,Automatic,Petrol,8172,Leinster,34400
2022-05-09,Audi,A3,2021,Auto,Petrol,11687,Leinster,26300
2022-06-05,Audi,Q2,2022,Semi-Auto,Petrol,1472,Munster,40000
2023-02-28,Audi,Q3,2020,Manual,Petrol,5753,Munster,26900
2022-11-14,Audi,A1,2018,Manual,Petrol,18610,Connacht,16400
2022-11-30,Audi,A1,2020,Manual,Electric,9960,Munster,20400
2023-01-13,Audi,A6,2021,Automatic,Diesel,997,Connacht,41500
2023-01-17,Audi,Q5,2021,Semi-Auto,Diesel,5645,Leinster,46200
2022-07-20,Audi,A4,2008,Manual,Petrol,76000,Connacht,3900
2022-10-03,Audi,A3,2019,Manual,Diesel,33030,Connacht,19300
2023-03-22,Audi,A3,2017,Automatic,Petrol,68814,Leinster,14300
2023-01-04,Audi,A6,2020,Semi-Auto,Electric,20636,Connacht,34300
2022-10-09,Audi,Q2,2021,Manual,Electric,4273,Ulster,25600
2022-05-18,Audi,Q3,2017,Manual,Diesel,19888,Munster,22000
2022-12-22,Audi,A3,2017,Manual,Diesel,56726,Munster,13100
2023-02-23,Audi,Q3,2017,Manual,Petrol,24868,Leinster,19600
2022-10-28,Audi,Q3,2018,Manual,Petrol,35370,Leinster,20800
2022-09-26,Audi,Q3,2022,Manual,Electric,1382,Ulster,37800
2022-07-06,Audi,A1,2018,Manual,Diesel,38564,Leinster,15200
2022-11-03,Audi,Q3,2018,Manual,Diesel,23785,Connacht,22800
2022-10-16,Audi,A4,2021,Manual,Petrol,6300,Ulster,33200
2022-10-01,Audi,Q2,2021,Automatic,Petrol,4115,Ulster,30600
2022-09-01,Audi,A4,2019,Manual,Petrol,14692,Leinster,27300
2022-10-31,Audi,A4,2018,Manual,Petrol,38298,Connacht,16500
2023-01-14,Audi,Q3,2021,Manual,,1964,Ulster,32900
2022-09-13,Audi,A1,2017,Manual,Petrol,17116,Munster,14700
2022-12-26,Audi,A3,2018,Manual,Petrol,16755,Connacht,16900
2023-03-04,Audi,Q2,2022,Semi-Auto,Electric,1706,Connacht,36200
2023-04-02,Audi,Q3,2021,Manual,Petrol,6000,Ulster,33800
2022-08-05,Audi,Q2,2021,Manual,Electric,7317,Leinster,28700
2022-11-03,Audi,A4,2021,Automatic,Electric,1948,Ulster,35100
2022-08-09,Audi,A1,2019,Manual,Petrol,31627,Munster,18200
2022-07-26,Audi,A3,2018,Manual,Petrol,46528,Munster,16800
2023-02-06,Audi,A4,2021,Semi-Auto,P,6230,Munster,41900
2023-01-10,Audi,A1,2018,Manual,Petrol,35935,Munster,14300
2022-06-12,Audi,Q3,2016,Semi-Auto,P,40380,Ulster,22600
2022-07-29,Audi,A6,2019,Semi-Auto,D,35716,Connacht,24700
2022-09-23,Audi,Q2,2020,Manual,Petrol,16888,Leinster,21600
2022-08-22,Audi,A3,2021,Manual,Electric,6746,Ulster,22100
2023-02-25,Audi,Q3,2022,Manual,Electric,1050,Connacht,37700
2023-01-12,Audi,A1,2021,Semi-Auto,Petrol,4479,Leinster,27900
2022-05-09,Audi,A1,2017,Manual,Diesel,51395,Connacht,12000
2022-09-21,Audi,Q3,2021,Automatic,Diesel,5164,Munster,54600
2023-04-12,Audi,A3,2018,Auto,Diesel,26142,Munster,24700
2022-07-09,Audi,A5,2021,Automatic,Petrol,4557,Leinster,46900
2023-01-12,Audi,Q5,2019,Semi-Auto,Petrol,15752,Munster,43500
2022-08-06,Audi,Q2,2020,Manual,Petrol,11639,Munster,22000
2023-02-14,Audi,A4,2018,Manual,Diesel,69354,Ulster,17500
2022-12-18,Audi,A4,2021,Auto,Electric,3500,Connacht,55200
2022-05-02,Audi,A3,2017,Semi-Auto,Diesel,53015,Munster,18200
2022-12-09,Audi,Q3,2018,Semi-Auto,Diesel,18144,Munster,24000
2022-08-07,Audi,A1,2018,Manual,Petrol,39600,Ulster,16100
2022-06-18,Audi,A3,2019,Semi-Auto,Diesel,19588,Leinster,22000
2022-10-12,Audi,Q5,2022,Semi-Auto,Electric,6500,Connacht,43200
2023-04-17,Audi,A3,2021,Auto,Diesel,5001,Leinster,32000
2023-01-03,Audi,A5,2021,Automatic,Petrol,4500,Munster,38600
2023-03-03,Audi,A6,2017,Manual,Diesel,60331,Leinster,18200
2023-03-11,Audi,A3,2019,Semi-Auto,Petrol,12600,Munster,25300
2023-03-16,Audi,A3,2020,Automatic,Petrol,7208,Connacht,31800
2022-10-21,Audi,Q5,2019,Semi-Auto,Petrol,47349,Munster,43100
2023-03-22,Audi,A6,2021,Automatic,Electric,5565,Munster,45500
2023-01-19,Audi,Q5,2017,,Diesel,87612,Munster,23800
2022-05-22,Audi,A1,2021,Semi-Auto,P,1313,Munster,33700
2022-06-04,Audi,A6,2019,Manual,D,37139,Leinster,22400
2023-04-19,Audi,A3,2021,Manual,E,1744,Leinster,23400
2023-04-21,Audi,Q3,2021,Automatic,Petrol,1250,Connacht,43200
2022-12-12,Audi,Q2,2021,Manual,Electric,7743,Ulster,23700
2022-09-11,Audi,A3,2018,Manual,Diesel,39900,Munster,14300
2023-01-01,Audi,Q5,2017,Automatic,Diesel,28236,Munster,24200
2022-05-29,Audi,A3,2018,Manual,Diesel,23728,Connacht,14200
2022-07-13,Audi,Q3,2018,Manual,Diesel,33597,Connacht,20000
2022-07-14,Audi,A1,2014,Manual,Diesel,51030,Ulster,11600
2022-07-29,Audi,Q2,2022,Manual,Petrol,1350,Leinster,34800
2023-01-15,Audi,A1,2019,Semi-Auto,Petrol,10592,Munster,19500
2022-05-14,Audi,A6,2020,,Electric,11053,Leinster,33800
2023-03-29,Audi,A3,2021,Manual,Petrol,7041,Leinster,25900
2022-07-29,Audi,A3,2018,Semi-Auto,Petrol,14298,Munster,20200
2022-05-13,Audi,A3,2021,Semi-Auto,Petrol,2470,Connacht,46100
2022-05-05,Audi,A1,2016,Manual,,98520,Leinster,10200
2022-06-03,Audi,A1,2018,Manual,Petrol,31484,Leinster,16400
2022-07-30,Audi,A4,2019,Manual,Diesel,54983,Leinster,19200
2022-07-09,Audi,A3,2021,Manual,Electric,5114,Ulster,28000
2023-04-12,Audi,A4,2021,Semi-Auto,Petrol,13959,Leinster,34400
2022-05-04,Audi,A1,2015,Manual,,44592,Leinster,9700
2022-08-03,Audi,Q5,2019,Semi-Auto,Petrol,16273,Munster,35700
2022-07-06,Audi,A3,2017,Auto,P,44400,Ulster,17700
2023-02-08,Audi,A1,2018,Manual,Diesel,41358,Munster,13600
2022-10-20,Audi,A4,2021,Automatic,Electric,3540,Connacht,29300
2023-01-15,Audi,A3,2018,Manual,Petrol,8368,Leinster,18300
2022-12-28,Audi,Q2,2019,Manual,P,39002,Leinster,21900
2022-08-29,Audi,A1,2014,Manual,P,43500,Connacht,12500
2022-07-23,Audi,Q3,2016,Automatic,Diesel,71277,Ulster,14400
2022-05-11,Audi,A1,2022,Semi-Auto,Petrol,3000,Connacht,27900
2023-02-25,Audi,A1,2022,Manual,Petrol,4050,Munster,27300
2023-01-04,Audi,A3,2021,Manual,Electric,7115,Munster,25400
2022-06-27,Audi,Q2,2020,Automatic,Petrol,11830,Leinster,32400
2022-05-25,Audi,A5,2019,Automatic,Diesel,46525,Ulster,27000
2022-07-27,Audi,A6,2019,Semi-Auto,Diesel,52130,Connacht,27700
2022-06-10,Audi,A3,2018,Manual,Petrol,36344,Munster,17500
2023-02-19,Audi,A4,2019,Automatic,Diesel,20746,Munster,26000
2023-03-20,Audi,A3,2015,Manual,Diesel,37141,Munster,11400
2023-02-14,Audi,A1,2018,Manual,Petrol,27993,Leinster,14100
2022-05-23,Audi,A3,2021,Manual,Electric,8100,Munster,28000
2022-06-06,Audi,A1,2018,Manual,Diesel,17010,Connacht,16200
2022-10-09,Audi,Q3,2022,Semi-Auto,Electric,1392,Munster,46800
2022-10-17,Audi,A6,2021,Semi-Auto,Electric,9672,Leinster,58800
2022-07-18,Audi,A4,2021,Semi-Auto,Diesel,11594,Munster,37100
2022-07-25,Audi,A4,2016,Manual,Diesel,49441,Munster,14000
2023-02-27,Audi,A5,2016,Semi-Auto,Petrol,43605,Ulster,22100
2022-05-08,Audi,A3,2019,Manual,Petrol,32586,Munster,17500
2022-06-29,Audi,Q2,2020,Manual,Electric,9079,Connacht,27000
2022-12-08,Audi,A3,2021,Automatic,E,7200,Ulster,30700
2023-01-10,Audi,A4,2018,Manual,Diesel,70442,Leinster,16200
2022-10-03,Audi,A3,2018,Manual,Petrol,36699,Connacht,13700
2023-03-22,Audi,A1,2017,Manual,Petrol,27340,Munster,18600
2023-02-17,Audi,A5,2021,Automatic,Electric,4200,Munster,42900
2022-05-06,Audi,A5,2018,Automatic,D,13197,Munster,25800
2023-01-05,Audi,A5,2019,Automatic,D,11539,Connacht,31800
2022-09-19,Audi,A4,2017,Manual,Diesel,41141,Leinster,18800
2022-10-31,Audi,A5,2019,Semi-Auto,Petrol,28967,Munster,35100
2022-10-16,Audi,Q5,2022,Semi-Auto,Petrol,4800,Munster,44900
2022-08-09,Audi,A4,2019,Manual,Diesel,14857,Ulster,17800
2023-04-11,Audi,Q5,2021,Automatic,Petrol,5120,Connacht,44000
2022-07-13,Audi,Q3,2019,Manual,Petrol,25737,Connacht,24800
2022-09-28,Audi,A3,2018,Semi-Auto,Petrol,34814,Munster,29400
2022-08-09,Audi,A6,2018,Manual,Diesel,29863,Leinster,23400
2022-10-25,Audi,A5,2021,Manual,Electric,1203,Ulster,41300
2022-08-19,Audi,A4,2021,Semi-Auto,Diesel,3963,Leinster,31200
2022-10-15,Audi,Q5,2022,Semi-Auto,Electric,3000,Munster,84000
2022-07-12,Audi,A3,2021,Manual,Diesel,3644,Munster,29100
2022-06-18,Audi,Q5,2021,Automatic,Electric,1229,Connacht,39500
2023-01-15,Audi,A4,2021,Semi-Auto,Petrol,10407,Leinster,35000
2022-09-08,Audi,Q5,2014,Manual,Diesel,114000,Munster,15200
2023-03-28,Audi,Q5,2020,Automatic,Electric,3300,Leinster,40200
2022-11-26,Audi,A6,2019,Manual,D,49211,Ulster,29400
2022-11-02,Audi,A4,2021,Automatic,Electric,1484,Ulster,35700
2023-03-06,Audi,Q3,2021,Manual,Electric,3980,Leinster,38100
2022-10-12,Audi,Q3,2021,Manual,Petrol,4617,Connacht,32800
2022-08-24,Audi,A1,2021,Auto,Petrol,7906,Munster,26600
2023-04-04,Audi,Q3,2018,Semi-Auto,Diesel,24517,Munster,22000
2022-07-08,Audi,Q5,2021,Automatic,Electric,6666,Munster,40500
2022-07-19,Audi,A1,2018,Manual,Diesel,33443,Munster,13300
2023-03-25,Audi,Q3,2018,Auto,Diesel,64924,Leinster,15600
2022-06-11,Audi,A3,2022,Semi-Auto,Petrol,3600,Leinster,35100
2022-10-01,Audi,A5,2019,Semi-Auto,D,36372,Leinster,28200
2022-09-25,Audi,Q5,2017,Manual,Diesel,26818,Leinster,24600
2023-04-06,Audi,A3,2016,Semi-Auto,Electric,24597,Leinster,19500
2022-07-25,Audi,Q3,2021,Manual,Electric,1414,Munster,42000
2022-06-15,Audi,A3,2021,Semi-Auto,Diesel,3965,Connacht,27900
2022-05-29,Audi,A6,2018,Semi-Auto,Diesel,17083,Connacht,22700
2022-08-28,Audi,A4,2021,Manual,Petrol,2525,Munster,31500
2022-10-13,Audi,A5,2018,Manual,Diesel,15930,Munster,28000
2022-12-15,Audi,Q3,2019,Auto,Petrol,14865,Munster,28900
2023-04-11,Audi,Q3,2022,Automatic,Petrol,3600,Leinster,41600
2022-10-22,Audi,Q3,2018,Manual,Diesel,41501,Connacht,18700
2023-03-23,Audi,A4,2021,Automatic,Diesel,11880,Leinster,42000
2022-09-29,Audi,Q2,2021,Semi-Auto,Electric,1841,Leinster,38400
2022-09-26,Audi,A1,2018,Manual,Petrol,18826,Leinster,14400
